name,url,status,got_type,node_type
Faceless Men,Faceless_Men,Active,Religious cult; Assassin guild,Organization
Old Gods of the Forest,Old_Gods_of_the_Forest,,Polytheistic; Animistic; Henotheistic,Organization
"R'hllor, the Lord of Light",R%27hllor,,Ditheism,Organization
Drowned God,Drowned_God,,Monolatristic,Organization
Unsullied,Unsullied,Active,Spear infantry,Organization
Faith of the Seven,Faith_of_the_Seven,,Monotheism  (seven aspects of one god),Organization
Brotherhood Without Banners,Brotherhood_Without_Banners,Active,Outlaw brotherhood; Resistance group,Organization
Iron Bank of Braavos,Iron_Bank_of_Braavos,Active,Financial institution,Organization
The Kingsguard,Kingsguard,Active,Sworn brotherhood; Royal guard,Organization
Qyburn,Qyburn,Alive,,Person
Order of Maesters,Maesters,Active,Scholastic order,Organization
Warlocks,Warlocks,Active,Initiatic order,Organization
Luwin,Luwin,Deceased,,Person
Small council,Small_Council,Active,Privy council; Royal advisory body,Organization
The Night's Watch,Night%27s_Watch,Active,Sworn brotherhood; Military order,Organization
Wolkan,Wolkan,Alive,,Person
Bear Island maester,Bear_Island_maester,Alive,,Person
Cressen,Cressen,Deceased,,Person
City Watch,City_Watch_of_King%27s_Landing,Active,Law enforcement; City guard,Organization
Sack of Highgarden,Sack_of_Highgarden,,,Event
Margaery Tyrell,Margaery_Tyrell,Deceased,,Person
Daenerys Targaryen's invasion of Westeros,Daenerys_Targaryen%27s_invasion_of_Westeros,,,Event
Battle of Ironrath,Battle_of_Ironrath,,,Event
Volarik,Volarik,Uncertain,,Person
Vaull,Vaull,Deceased,,Person
The Old Gods and the New,The_Old_Gods_and_the_New,,,Episode
Captured wight,Captured_wight,Deceased,,Person
Balerion,Balerion,Deceased,,Animal
Dragonpit,Dragonpit,Destroyed,Stable for dragons,Location
Battle of the Goldroad,Battle_of_the_Goldroad,,,Event
Northern Allegiances to House Stark,Northern_Allegiances_to_House_Stark,,,HistoriesNLore
Golden Company,Golden_Company,Active,Sellsword company,Organization
Tyene Sand,Tyene_Sand,Deceased,,Person
The North,The_North_(Histories_%26_Lore),,,HistoriesNLore
Citadel maester,Citadel_maester_(The_Winds_of_Winter),Alive,,Person
The Maester's Chain,The_Maester%27s_Chain,,,HistoriesNLore
Brandon Stark,Brandon_Stark_(son_of_Rickard),Deceased,,Person
Abandonment of Dragonstone,Abandonment_of_Dragonstone,,,Event
Battle at Long Lake,Battle_at_Long_Lake,,,Event
Vulture Hunt,Vulture_Hunt,,,Event
The Field of Fire,The_Field_of_Fire,,,HistoriesNLore
Elaena Glenmore,Elaena_Glenmore,Uncertain,,Person
Gryff Whitehill,Gryff_Whitehill,Determinant,,Person
Ryon Forrester,Ryon_Forrester,Alive,,Person
Biter,Biter,Deceased,,Person
First Dornish War,First_Dornish_War,,,Event
Rorge,Rorge,Deceased,,Person
Ludd Whitehill,Ludd_Whitehill,Determinant,,Person
Polliver,Polliver,Deceased,,Person
Willem Lannister,Willem_Lannister,Deceased,,Person
Martyn Lannister,Martyn_Lannister,Deceased,,Person
Alton Lannister,Alton_Lannister,Deceased,,Person
Stafford Lannister,Stafford_Lannister,Deceased,,Person
Joanna Lannister,Joanna_Lannister,Deceased,,Person
Marillion,Marillion,Alive,,Person
Needle,Needle,With Arya Stark,,Weapon
Clegane's Keep,Clegane%27s_Keep,In use,Castle,Location
Feastfires,Feastfires,In use,Castle,Location
Crakehall,Crakehall,In use,Castle,Location
Cornfield,Cornfield,In use,Settlement,Location
Deep Den,Deep_Den,In use,Castle,Location
Faircastle,Faircastle,,Castle,Location
Hornvale,Hornvale,,Castle,Location
Oxcross,Oxcross,Inhabited,Village,Location
Sarsfield,Sarsfield,In use,Castle,Location
Ashemark,Ashemark,In use,Stronghold,Location
The Crag,The_Crag,Partially ruined; Still in use,Castle,Location
Gared's sister,Gared%27s_sister,Deceased,,Person
Gared's father,Gared%27s_father,Deceased,,Person
The Kingswood Brotherhood,Kingswood_Brotherhood,Disbanded,Outlaw brotherhood,Organization
Thermund,Thermund,Deceased,,Person
Norren,Norren,Unknown,,Person
Lady Crane,Lady_Crane,Deceased,,Person
Mord,Mord,Alive,,Person
Lothor Brune,Lothor_Brune,Alive,,Person
Valyrian Steel Dagger,Valyrian_steel_dagger,,,Weapon
Willem Frey,Willem_Frey,Deceased,,Person
The Banefort,The_Banefort,,Castle,Location
Robett Glover,Robett_Glover,Alive,,Person
Harrion Karstark,Harrion_Karstark,Deceased,,Person
Grey Wind,Grey_Wind,Deceased,,Animal
Son of Robert Baratheon and Cersei Lannister,Baratheon_(son_of_Robert),Deceased,,Person
Tysha,Tysha,Uncertain,,Person
House Swyft,House_Swyft,,,House
The Tickler,The_Tickler,Deceased,,Person
Weasel,Weasel,Alive,,Person
Innkeeper's daughter,Innkeeper%27s_daughter,Alive,,Person
Lord of Bones,Lord_of_Bones,Deceased,,Person
Baelish,Baelish_(founder),Deceased,,Person
Baelish,Baelish_(hedge_knight),Deceased,,Person
House Fossoway,House_Fossoway,,,House
Ros,Ros,Deceased,,Person
Dontos Hollard,Dontos_Hollard,Deceased,,Person
Tourney Herald,Tourney_Herald,Alive,,Person
House Baelish,House_Baelish,,,House
House Brune,House_Brune,,,House
Elbert Arryn,Elbert_Arryn,,,Person
Hugh,Hugh,Deceased,,Person
Baelish,Lord_Baelish_(father_of_Petyr),Deceased,,Person
Baelish Castle,Unnamed_Baelish_castle,,Castle,Location
Ryger Rivers,Ryger_Rivers,Deceased,,Person
Talbot,Talbot,Deceased,,Person
